"url","title","h1","body_first_300_chars"
"/","Blaco Hill Farm Cottages | Holiday Rentals","A warm welcome from Victoria and Thomas","Blaco Hill Farm Cottages We invite you to share with us the delights of self catering accommodation on the North Nottinghamshire & South Yorkshire border, in the very heart of the Idle River Valley near to the village of Mattersey. In an area rich with Outdoor Activities that will be fun for all the"
"/about","About | Blaco Hill","About Blaco Hill Farm Cottages","ABout Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six about We are a family run business, offering a selection of eleven self catering properties on our working farm on the North Nottinghamshire, South Yorkshire border. From converted courtyard barns to old "
"/about/faq","FAQ | Blaco Hill","Questions","Frequently Asked Do I need travel insurance?We strongly recommend taking out travel insurance, including cancellation cover, at the time you book. This protects you should something unforeseen, such as illness, prevent you from travelling, as any refund for a cancellation is at our discretion. We st"
"/about/games-room","Games Room | Blaco Hill","The Games Room","Facilities Along with the great outdoors, we also have a fully loaded games room. Relax with your favourite board game and book in the library or practice your cue action on our full size snooker table. We are open year round We do hope you find Blaco Hill Farm Cottages a relaxing, care-free environ"
"/about/local-interests","Local Interests | Blaco Hill","Local Attractions","Activities There is a wide variety of attractions and places of interest locally. We would be pleased to give you a detailed run down when you get here, once we know what you want to do. Golf for Dad, Water park for the kids. Below is a some of the activities you may enjoy. Just located just a coupl"
"/about/testimonials","Testimonials | Blaco Hill","Testimonials","Guest book Weekend away – Rebecca PFab little find. Lovely cottage with everything you need for a weekend get away. Games room an added bonus and cottage kitted out for all your needs. Clean with linen provided, plenty of room for 6 of us and didn’t feel cramped. Fab little find. Lovely cottage with"
"/accessibility-statement","Accessibility Statement | Blaco Hill","Access statement for Blaco Hill Farm Cottages","Our 7 self catering cottages have been converted from disused farm buildings, on a working arable farm. The cottages are set around a shared courtyard and carpark. We have tried to provide as much information as possible in this statement, if you have any queries please do call. We look forwarding t"
"/amazing-family-get-together","Amazing family get together – Charris-ment | Blaco Hill","Amazing family get together – Charris-ment","Testimonials Sep 16, 2017 We stayed here this weekend as a large group of 21 for a family get together and all had a brilliant time. From point of booking, with our numerous questions before we arrived, Liz and Alastair replied promptly and did everything they could to ensure we had a great time. Th"
"/are-longer-term-lets-available","Are longer-term lets available? | Blaco Hill","Are longer-term lets available?","FAQ Sep 4, 2020 Yes. Please just ask and we can discuss your needs accordingly."
"/are-these-holiday-lets-suitable-for-families","Are these holiday lets suitable for families? | Blaco Hill","Are these holiday lets suitable for families?","FAQ Sep 4, 2020 Yes, we welcome families at our holiday cottages. We have a children’s play area which is a favourite among many of our younger guests. We also provide travel cots, highchairs and stair gates for use within our properties."
"/are-towels-and-linen-provided","Are towels and linen provided? | Blaco Hill","Are towels and linen provided?","FAQ Sep 4, 2020 Yes, All bed linen and one bath sheet and hand towel per guest is provided, EXCEPT where cots are requested, please bring all cot bedding and baby towels you require"
"/are-your-cottages-child-friendly","Are your cottages child friendly? | Blaco Hill","Are your cottages child friendly?","FAQ Sep 21, 2020 Yes, growing up at Blaco and now having children of our own we know how important this is. Stair gates, Ikea highchairs and travel cots can all be requested free of charge and we have plenty of open space to run around, with a woodland children play area and indoor games room with a"
"/ask-us-a-question","Ask us a question | Blaco Hill","Ask us a Question","Reviews I have been here many times. This place is for those who like walking, birds and resting in the evenings, maybe using their library. So peaceful there. I have been here many times. This place is for those who like walking, birds and resting in the evenings, maybe using their library. So peac"
"/booking-request-form","Booking request form | Blaco Hill","Request a booking form","Reviews I have been here many times. This place is for those who like walking, birds and resting in the evenings, maybe using their library. So peaceful there. I have been here many times. This place is for those who like walking, birds and resting in the evenings, maybe using their library. So peac"
"/brilliant-place-to-stay","Brilliant place to stay! – dollyface99 | Blaco Hill","Brilliant place to stay! – dollyface99","Testimonials Oct 16, 2014 Just wanted to write another quick review for this place. We stayed here for the first time about a year ago under sad circunstances followng the illness and death of my father in law. Since then we have stayed here many times more (every other month or so while visiting mo"
"/calendar","Cottage Availability | Blaco Hill","Cottage Availability","Our Cottages do become booked at short notice so if you have some dates in mind, please contact us on the form to find out the availability and our best prices."
"/checking-in-checkout-process","Checking in & Checkout Process | Blaco Hill","Checking in & Checkout Process","Self check in is available from 15.00, unless prior arrangements have been agreed otherwise. On day of departure please vacate your cottage by 10.00am leaving the key in the door. Everything you need to know is detailed in your correspondence with us upon booking We are open year round We do hope yo"
"/contact-us","Contact us | Blaco Hill","Contact Us","GET IN TOUCH Nottinghamshire & Yorkshire border Eleven Unique Cottages Each accommodates between 2 - 6 people Blacohill Farm Cottage Information Leave at junction 34, on A614 Bawtry. In Bawtry at the traffic lights turn left for Gainsborough A631. In the village of Eveton take a right turn by The Su"
"/cookies","Cookies | Blaco Hill","Cookies Policy","Our website uses cookies. Cookies are small text files that are placed on your computer or device when you visit our website We’ve listed the cookies we use below with details about the type of cookie they are, why we use them, and if applicable how long they last. Our website uses both session cook"
"/disclaimer","Disclaimer | Blaco Hill","Disclaimer","Blaco Hill Farm Cottages is providing this site on an “as is” basis and makes no representations or warranties of any kind with respect to this site or its contents and disclaims all such representations and warranties. In addition, Blaco Hill Farm Cottages makes no representations or warranties abo"
"/do-i-need-travel-insurance","Do I need travel insurance? | Blaco Hill","Do I need travel insurance?","FAQ Sep 21, 2026 We strongly recommend taking out travel insurance, including cancellation cover, at the time you book. This protects you should something unforeseen, such as illness, prevent you from travelling, as any refund for a cancellation is at our discretion."
"/do-you-accept-pets","Do you accept pets? | Blaco Hill","Do you accept pets?","FAQ Sep 4, 2020 Yes, we welcome pets in all of our cottages except Cuckoo. Please let us know when you book if you will be bringing a pet."
"/do-you-have-any-laundry-facilities-we-can-use","Do you have any laundry facilities we can use? | Blaco Hill","Do you have any laundry facilities we can use?","FAQ Sep 4, 2020 There is a communal laundry room which guests are welcome to use. It includes 2 washing machines, a tumble dryer and ironing equipment."
"/do-you-have-wifi","Do you have wifi? | Blaco Hill","Do you have wifi?","FAQ Sep 21, 2020 Yes! We have wifi in all properties and in our Games Room. And signal is also good when outside."
"/excellent-and-great-location","Excellent and great location – Mrs G Dundee | Blaco Hill","Excellent and great location – Mrs G Dundee","Testimonials May 16, 2016 Stayed here for 2 nights as husband had a course nearby and we chose this for convenience. The property is dog friendly and lots of grounds to explore. Cottage is perfect for needs, basic but more than ample… Also very reasonable price. Great location for nearby towns and l"
"/family-weekend-away","Family weekend away – Deborah W | Blaco Hill","Family weekend away – Deborah W","Testimonials May 16, 2018 Just got back from a gorgeous weekend a blacohill farm. We had 7 cottages between 24 of us and couldn’t of asked for anything better. All the cottages were clean and very well equipped with everything you could think of in the kitchens. The games room was just perfect for u"
"/fantastic-girls-weekend","Fantastic girls weekend – Pho3nix1705 | Blaco Hill","Fantastic girls weekend – Pho3nix1705","Testimonials Apr 16, 2019 We spent a lovely weekend in Swallow cottage. Just perfect for a group of friends looking for some time in the country to relax and catch up. We arrived to a very warm welcome from Liz and were shown to our cottage which was comfy, clean and tidy. Cottages are located on a "
"/for-four-people","For four people | Blaco Hill","For four people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Accessed up stairs this single level cottage offers open plan living with high beamed ceilings and great views across the farm. Both the master and twin are spacious rooms with ensuite bath and sho"
"/for-six-people","For six people | Blaco Hill","For six people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Swift offers colourful open plan living with a fully equipped kitchen and large dining table. The spacious master bedroom with ensuite one end and the twin rooms and family bathroom the other flank"
"/for-two-people","For two people | Blaco Hill","For two people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six With a large glass window frontage this cottage offers bright open plan living downstairs with a master ensuite upstairs on a mezzanine floor. With a large glass window frontage this cottage offers"
"/highly-recommended","Highly recommended! – Burl Brown | Blaco Hill","Highly recommended! – Burl Brown","Testimonials Jul 29, 2013 We stayed here whilst visiting family in the area and couldn’t have asked for more. They are beautifully converted cottages, with everything you could need amongst stunning countryside. Great routes for walks or runs in the countryside, perfect for building up an appetite. "
"/how-do-i-pay","How do I pay? | Blaco Hill","How do I pay?","FAQ Sep 21, 2020 Our preferred method of payment is by bank transfer but we can also take payment by cheques or PayPal. All details will be given in your correspondence with us."
"/i-am-disabled-are-your-properties-suitable-for-me","I am disabled. Are your properties suitable for me? | Blaco Hill","I am disabled. Are your properties suitable for me?","FAQ Sep 4, 2020 We do everything we can to accommodate everyone. Please read our access statement for further details."
"/modern-slavery","Modern Slavery Statement | Blaco Hill","Modern Slavery Statement","[MODERN_SLAVERY_TEXT]"
"/our-cottages","Our Cottages | Blaco Hill","Our Eleven Cottages","our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Here at Blaco Hill Cottages we aim to provide a relaxing and care-free environment that offers cosy cottages sympathetically restored with everything you need for a stay away from home. We welcome "
"/our-cottages/chaffinch-2","Chaffinch | Blaco Hill","Chaffinch","Our Cottages Kitchen, Dining Room & Large Sitting Room Master & twin bedroom Sleeps four people Kitchen dining room Large sitting room Master Bedroom kingsize bed, with en-suite shower over bath Bedroom 2 – twin beds, with en-suite shower Pets accepted Set over two floors Chaffinch is well equipped "
"/our-cottages/cuckoo","Cuckoo | Blaco Hill","Cuckoo","Our Cottages Kitchen Dining Area & Large Sitting Room Master & twin bedroom Sleeps four people Kitchen dining area Large sitting area Master Bedroom super king bed, with en-suite shower over bath Bed 2 – twin beds Patio area No pets We are open year round We do hope you find Blaco Hill Farm Cottages"
"/our-cottages/grey-goose","Greygoose | Blaco Hill","Old Cart Shed D","Our Cottages Kitchen Dining Area & Large Sitting Room Superking or Twin Sleeps two people Kitchen dining area Large sitting area Master Bedroom with Superking or Twin with en-suite shower over bath Patio area Pets accepted It’s all about flexibility and comfort in these cottages with zip lock beds i"
"/our-cottages/mallard","Mallard | Blaco Hill","Old Cart Shed C","Our Cottages Kitchen Dining Area & Large Sitting Room Superking or Twin Sleeps two people Kitchen dining area Large sitting area Master Bedroom with Superking or Twin with en-suite shower over bath Patio area No pets It’s all about flexibility and comfort in these cottages with zip lock beds in the "
"/our-cottages/nightingale","Nightingale | Blaco Hill","Nightingale","Our Cottages Kitchen Dining Area & Sitting Room Master bedroom Sleeps two people Kitchen dining area Sitting room Master Bedroom kingsize bed, with en-suite shower Patio area Pets accepted We are open year round We do hope you find Blaco Hill Farm Cottages a relaxing, care-free environment and hopef"
"/our-cottages/partridge","Partridge | Blaco Hill","Partridge","Our Cottages Kitchen Dining Area & Large Sitting Room Bed 2 King & Bed 3 Twin Sleeps six people Kitchen Dining Living Area Super king master with en-suite shower over bath Bed 2 King Bed 3 Twin Family shower room Large enclosed patio Pets accepted The perfect place for a family looking for a quiet r"
